Product Name,Description,Size,Price per Unit,Price for 50,Price for 100
Rollos Térmicos,"Rollos térmicos para impresoras y pos. | Medidas disponibles: 44x50, 57x20, 57x30, 80x30.",44x50,8500,,
Rollos Térmicos,"Rollos térmicos para impresoras y pos. | Medidas disponibles: 44x50, 57x20, 57x30, 80x30.",57x20,5500,,
Rollos Térmicos,"Rollos térmicos para impresoras y pos. | Medidas disponibles: 44x50, 57x20, 57x30, 80x30.",57x30,6500,,
Rollos Térmicos,"Rollos térmicos para impresoras y pos. | Medidas disponibles: 44x50, 57x20, 57x30, 80x30.",80x30,8500,,
Cinta Scotch,"Cinta scotch de alta adherencia, ideales para oficina, embalaje o uso escolar. | Disponibles en diferentes medidas y presentaciones. | Por Unidad o en Bulto (10).",12x25,,,
Cinta Scotch,"Cinta scotch de alta adherencia, ideales para oficina, embalaje o uso escolar. | Disponibles en diferentes medidas y presentaciones. | Por Unidad o en Bulto (10).",24x50,,,
Cinta Scotch,"Cinta scotch de alta adherencia, ideales para oficina, embalaje o uso escolar. | Disponibles en diferentes medidas y presentaciones. | Por Unidad o en Bulto (10).",48x100,,,
Silicona,"Línea de siliconas para pegar y manualidades. | Opciones: barra x10 unidades y líquidas 30ml, 100ml, 500ml.","Barra x10
                unidades",2000,,
Silicona,"Línea de siliconas para pegar y manualidades. | Opciones: barra x10 unidades y líquidas 30ml, 100ml, 500ml.",Líquida 30ml,950,,
Silicona,"Línea de siliconas para pegar y manualidades. | Opciones: barra x10 unidades y líquidas 30ml, 100ml, 500ml.","Líquida
                100ml",2500,,
Silicona,"Línea de siliconas para pegar y manualidades. | Opciones: barra x10 unidades y líquidas 30ml, 100ml, 500ml.","Líquida
                500ml",6500,,
Stretch,"Film stretch de alta resistencia y elasticidad. | Ideal para embalaje manual o con mango, en diferentes anchos y tipos. | Diseñado para proteger y asegurar cargas en transporte y almacenamiento.",Negro con mango,7000,,
Stretch,"Film stretch de alta resistencia y elasticidad. | Ideal para embalaje manual o con mango, en diferentes anchos y tipos. | Diseñado para proteger y asegurar cargas en transporte y almacenamiento.",Virgen 10cm,1700,,
Stretch,"Film stretch de alta resistencia y elasticidad. | Ideal para embalaje manual o con mango, en diferentes anchos y tipos. | Diseñado para proteger y asegurar cargas en transporte y almacenamiento.",Virgen con mango,7000,,
Stretch,"Film stretch de alta resistencia y elasticidad. | Ideal para embalaje manual o con mango, en diferentes anchos y tipos. | Diseñado para proteger y asegurar cargas en transporte y almacenamiento.",Virgen manual,14500,,
Bolsas Sulfito,"Bolsas de papel ideales para panaderías y confiterías. | Diseñadas para mantener la presentación y frescura de productos de pastelería. | Disponibles en medidas N°2, N°3, N°4, N°6, N°7 y N°8. | Venta únicamente por paquete.",N°2,,,
Bolsas Sulfito,"Bolsas de papel ideales para panaderías y confiterías. | Diseñadas para mantener la presentación y frescura de productos de pastelería. | Disponibles en medidas N°2, N°3, N°4, N°6, N°7 y N°8. | Venta únicamente por paquete.",N°3,,,
Bolsas Sulfito,"Bolsas de papel ideales para panaderías y confiterías. | Diseñadas para mantener la presentación y frescura de productos de pastelería. | Disponibles en medidas N°2, N°3, N°4, N°6, N°7 y N°8. | Venta únicamente por paquete.",N°4,,,
Bolsas Sulfito,"Bolsas de papel ideales para panaderías y confiterías. | Diseñadas para mantener la presentación y frescura de productos de pastelería. | Disponibles en medidas N°2, N°3, N°4, N°6, N°7 y N°8. | Venta únicamente por paquete.",N°6,,,
Bolsas Sulfito,"Bolsas de papel ideales para panaderías y confiterías. | Diseñadas para mantener la presentación y frescura de productos de pastelería. | Disponibles en medidas N°2, N°3, N°4, N°6, N°7 y N°8. | Venta únicamente por paquete.",N°7,,,
Bolsas Sulfito,"Bolsas de papel ideales para panaderías y confiterías. | Diseñadas para mantener la presentación y frescura de productos de pastelería. | Disponibles en medidas N°2, N°3, N°4, N°6, N°7 y N°8. | Venta únicamente por paquete.",N°8,,,
Tacos De Papel,"Tacos de papel ideales para oficina, escuela o uso personal. | Disponibles en versiones blancas, de color y autoadhesivas. | Alta calidad y excelente presentación para cualquier necesidad de papelería.",Blanco,2300,,
Tacos De Papel,"Tacos de papel ideales para oficina, escuela o uso personal. | Disponibles en versiones blancas, de color y autoadhesivas. | Alta calidad y excelente presentación para cualquier necesidad de papelería.",Color,1500,,
Tacos De Papel,"Tacos de papel ideales para oficina, escuela o uso personal. | Disponibles en versiones blancas, de color y autoadhesivas. | Alta calidad y excelente presentación para cualquier necesidad de papelería.",Autoadhesivos,1100,,
Bandejas de Telgopor,"Bandejas de telgopor resistentes y livianas. | Ideales para rotisería, carnicería o panadería. | Disponibles en packs de 50 y 100 unidades.",N° 615,,3400,6700
Bandejas de Telgopor,"Bandejas de telgopor resistentes y livianas. | Ideales para rotisería, carnicería o panadería. | Disponibles en packs de 50 y 100 unidades.",N° 617,,2500,4800
Bandejas de Telgopor,"Bandejas de telgopor resistentes y livianas. | Ideales para rotisería, carnicería o panadería. | Disponibles en packs de 50 y 100 unidades.",N° 618,,3500,6700
Bandejas de Telgopor,"Bandejas de telgopor resistentes y livianas. | Ideales para rotisería, carnicería o panadería. | Disponibles en packs de 50 y 100 unidades.",N° 619,,3400,6600
Bandejas de Telgopor,"Bandejas de telgopor resistentes y livianas. | Ideales para rotisería, carnicería o panadería. | Disponibles en packs de 50 y 100 unidades.",N° 628,,9300,17600
Vasos Térmicos,"Vasos térmicos de telgopor resistentes al calor. | Ideales para café, té o bebidas calientes. | Disponibles en presentaciones de 50 y 100 unidades.",120ml,,,
Vasos Térmicos,"Vasos térmicos de telgopor resistentes al calor. | Ideales para café, té o bebidas calientes. | Disponibles en presentaciones de 50 y 100 unidades.",180ml,,,
Vasos Térmicos,"Vasos térmicos de telgopor resistentes al calor. | Ideales para café, té o bebidas calientes. | Disponibles en presentaciones de 50 y 100 unidades.",240ml,,,
Tiza,Tiza para uso escolar y artístico. | Se borra fácilmente de pizarras. | Opciones: blanca y de color.,Blanca,80,,
Tiza,Tiza para uso escolar y artístico. | Se borra fácilmente de pizarras. | Opciones: blanca y de color.,Color,100,,
Trípode,Trípode separador para pizza (plástico). | Presentaciones: Unidad y Bulto (10 kg). | Bultos: Trípode 10 kg.,Unidad,2300,,
Trípode,Trípode separador para pizza (plástico). | Presentaciones: Unidad y Bulto (10 kg). | Bultos: Trípode 10 kg.,Bulto (10 kg),20000,,
Abrochadora,Abrochadora de alta resistencia para oficina o uso escolar. | Presentaciones disponibles: 10/50 y 21/6.,10/50,7400,,
Abrochadora,Abrochadora de alta resistencia para oficina o uso escolar. | Presentaciones disponibles: 10/50 y 21/6.,21/6,10500,,
Bandejas De Aluminio,"Bandeja fabricada en aluminio, resistente al calor y adecuada para horno. | La tapa de aluminio proporciona un cierre seguro y mantiene la frescura de los alimentos. | Ideal para cocinar pollos, pastas, carnes, pescados y verduras. | Se presenta en packs de Unidad, 50 y 100, conveniente para uso doméstico o eventos.",F100,300,14000,27000
Bandejas De Aluminio,"Bandeja fabricada en aluminio, resistente al calor y adecuada para horno. | La tapa de aluminio proporciona un cierre seguro y mantiene la frescura de los alimentos. | Ideal para cocinar pollos, pastas, carnes, pescados y verduras. | Se presenta en packs de Unidad, 50 y 100, conveniente para uso doméstico o eventos.",F75,260,12000,22000
Bandejas De Aluminio,"Bandeja fabricada en aluminio, resistente al calor y adecuada para horno. | La tapa de aluminio proporciona un cierre seguro y mantiene la frescura de los alimentos. | Ideal para cocinar pollos, pastas, carnes, pescados y verduras. | Se presenta en packs de Unidad, 50 y 100, conveniente para uso doméstico o eventos.",P12,190,8000,15500
Papel Aluminio,Papel aluminio para cocina y embalaje. | Opciones: Chico y 1 Kg.,Chico,2500,,
Papel Aluminio,Papel aluminio para cocina y embalaje. | Opciones: Chico y 1 Kg.,1 Kg,9900,,
Papel de Aluminio para Hamburguesa 30x40,"Papel de aluminio de alta calidad para envolver hamburguesas y alimentos calientes. | Medida estándar de 30x40 cm, resistente al calor y fácil de manejar. | Ideal para locales gastronómicos, rotiserías y food trucks.",30x40,,,14400
Bandejas Plateadas,"Bandejas plateadas resistentes y elegantes. | Ideales para presentación de productos, rotisería o pastelería. | Disponibles en los tamaños N° 22 y N° 24. | Se venden por unidad.",N° 22,300,,
Bandejas Plateadas,"Bandejas plateadas resistentes y elegantes. | Ideales para presentación de productos, rotisería o pastelería. | Disponibles en los tamaños N° 22 y N° 24. | Se venden por unidad.",N° 24,400,,
Banditas Elásticas,"Banditas elásticas de alta calidad, ideales para oficina, papelería y uso general. | Disponibles en presentación de 100 g y 500 g.",100g,1500,,
Banditas Elásticas,"Banditas elásticas de alta calidad, ideales para oficina, papelería y uso general. | Disponibles en presentación de 100 g y 500 g.",500g,6800,,
Potes Bisagra,"Potes plásticos con bisagra, ideales para alimentos fríos o calientes. | Disponibles en tamaños chico, mediano y grande. | Presentación por unidad, pack de 50 o pack de 100.",Chico,150,6500,12000
Potes Bisagra,"Potes plásticos con bisagra, ideales para alimentos fríos o calientes. | Disponibles en tamaños chico, mediano y grande. | Presentación por unidad, pack de 50 o pack de 100.",Mediano,160,7000,12500
Potes Bisagra,"Potes plásticos con bisagra, ideales para alimentos fríos o calientes. | Disponibles en tamaños chico, mediano y grande. | Presentación por unidad, pack de 50 o pack de 100.",Grande,170,7500,13500
Blondas,"Blondas de papel decorativas ideales para pastelería, repostería y presentación de productos. | Disponibles en tamaños N° 28, N° 30 y N° 32. | Presentación: por paquete.",N° 28,4700,,
Blondas,"Blondas de papel decorativas ideales para pastelería, repostería y presentación de productos. | Disponibles en tamaños N° 28, N° 30 y N° 32. | Presentación: por paquete.",N° 30,5500,,
Blondas,"Blondas de papel decorativas ideales para pastelería, repostería y presentación de productos. | Disponibles en tamaños N° 28, N° 30 y N° 32. | Presentación: por paquete.",N° 32,5950,,
Bobina de Papel,Bobina de papel sulfito para embalaje y envolver. | Opciones: 40 cm y 60 cm de ancho.,40 cm,14500,,
Bobina de Papel,Bobina de papel sulfito para embalaje y envolver. | Opciones: 40 cm y 60 cm de ancho.,60 cm,21500,,
Budineras,"Budineras de papel y aluminio ideales para panificados y repostería. | Disponibles en versiones Mini, Papel normal y Aluminio. | Se presentan en unidades y packs de 50 y 100 unidades.",Papel Mini,200,8500,16000
Budineras,"Budineras de papel y aluminio ideales para panificados y repostería. | Disponibles en versiones Mini, Papel normal y Aluminio. | Se presentan en unidades y packs de 50 y 100 unidades.",Papel,220,10000,17000
Budineras,"Budineras de papel y aluminio ideales para panificados y repostería. | Disponibles en versiones Mini, Papel normal y Aluminio. | Se presentan en unidades y packs de 50 y 100 unidades.",Aluminio,190,8100,15500
Bolsas Camiseta,"Bolsas camiseta reforzadas y estándar, ideales para comercios, supermercados y tiendas. | Disponibles en diferentes medidas y colores. | Presentaciones: por paquete (x100) o por bulto según el tamaño.",(E) 30x40,,,
Bolsas Camiseta,"Bolsas camiseta reforzadas y estándar, ideales para comercios, supermercados y tiendas. | Disponibles en diferentes medidas y colores. | Presentaciones: por paquete (x100) o por bulto según el tamaño.",(E) 40x50,,,
Bolsas Camiseta,"Bolsas camiseta reforzadas y estándar, ideales para comercios, supermercados y tiendas. | Disponibles en diferentes medidas y colores. | Presentaciones: por paquete (x100) o por bulto según el tamaño.",(R) 20x30,,,
Bolsas Camiseta,"Bolsas camiseta reforzadas y estándar, ideales para comercios, supermercados y tiendas. | Disponibles en diferentes medidas y colores. | Presentaciones: por paquete (x100) o por bulto según el tamaño.",(R) 30x40,,,
Bolsas Camiseta,"Bolsas camiseta reforzadas y estándar, ideales para comercios, supermercados y tiendas. | Disponibles en diferentes medidas y colores. | Presentaciones: por paquete (x100) o por bulto según el tamaño.",(R) 40x50,,,
Bolsas Camiseta,"Bolsas camiseta reforzadas y estándar, ideales para comercios, supermercados y tiendas. | Disponibles en diferentes medidas y colores. | Presentaciones: por paquete (x100) o por bulto según el tamaño.",(R) 45x60,,,
Bolsas Camiseta,"Bolsas camiseta reforzadas y estándar, ideales para comercios, supermercados y tiendas. | Disponibles en diferentes medidas y colores. | Presentaciones: por paquete (x100) o por bulto según el tamaño.",(R) 45x60 Ciudad Negra,,,
Bolsas Camiseta,"Bolsas camiseta reforzadas y estándar, ideales para comercios, supermercados y tiendas. | Disponibles en diferentes medidas y colores. | Presentaciones: por paquete (x100) o por bulto según el tamaño.",(R) 50x60,,,
Bolsas Camiseta,"Bolsas camiseta reforzadas y estándar, ideales para comercios, supermercados y tiendas. | Disponibles en diferentes medidas y colores. | Presentaciones: por paquete (x100) o por bulto según el tamaño.",(R) 50x70,,,
Bolsas Camiseta,"Bolsas camiseta reforzadas y estándar, ideales para comercios, supermercados y tiendas. | Disponibles en diferentes medidas y colores. | Presentaciones: por paquete (x100) o por bulto según el tamaño.",(R) 60x80,,,
Bandejas De Cartón,"Bandejas de cartón gris reforzadas, ideales para rotiserías y pastelería. | Se presentan en packs de 50 y 100 unidades según el modelo.",N° 1,0,900,1600
Bandejas De Cartón,"Bandejas de cartón gris reforzadas, ideales para rotiserías y pastelería. | Se presentan en packs de 50 y 100 unidades según el modelo.",N° 2,0,900,1700
Bandejas De Cartón,"Bandejas de cartón gris reforzadas, ideales para rotiserías y pastelería. | Se presentan en packs de 50 y 100 unidades según el modelo.",N° 3,0,1200,2000
Bandejas De Cartón,"Bandejas de cartón gris reforzadas, ideales para rotiserías y pastelería. | Se presentan en packs de 50 y 100 unidades según el modelo.",N° 4,0,1500,2650
Bandejas De Cartón,"Bandejas de cartón gris reforzadas, ideales para rotiserías y pastelería. | Se presentan en packs de 50 y 100 unidades según el modelo.",N° 5,0,1800,3300
Bandejas De Cartón,"Bandejas de cartón gris reforzadas, ideales para rotiserías y pastelería. | Se presentan en packs de 50 y 100 unidades según el modelo.","N° 12,5",0,1650,3200
Bandejas De Cartón,"Bandejas de cartón gris reforzadas, ideales para rotiserías y pastelería. | Se presentan en packs de 50 y 100 unidades según el modelo.",N° 13,0,1900,3600
Bandejas De Cartón,"Bandejas de cartón gris reforzadas, ideales para rotiserías y pastelería. | Se presentan en packs de 50 y 100 unidades según el modelo.","N° 13,5",0,2100,4100
Bandejas De Cartón,"Bandejas de cartón gris reforzadas, ideales para rotiserías y pastelería. | Se presentan en packs de 50 y 100 unidades según el modelo.",N° 14,0,3500,6400
Bandejas De Cartón,"Bandejas de cartón gris reforzadas, ideales para rotiserías y pastelería. | Se presentan en packs de 50 y 100 unidades según el modelo.",N° 15,0,3700,6900
Clips,Clips metálicos de alta calidad. | Para organizar y sujetar papeles. | Opciones: N°3 y N°5.,N°3,450,,
Clips,Clips metálicos de alta calidad. | Para organizar y sujetar papeles. | Opciones: N°3 y N°5.,N°5,900,,
Cartón Corrugado,"Cartón corrugado resistente ideal para embalaje y protección de productos. | Flexible, firme y fácil de cortar a medida. | Disponible en rollos de 100x20 y 120x20 cm.",100x20,,,
Cartón Corrugado,"Cartón corrugado resistente ideal para embalaje y protección de productos. | Flexible, firme y fácil de cortar a medida. | Disponible en rollos de 100x20 y 120x20 cm.",120x20,,,
Papel Cortado,"Papel sulfito cortado. | Presentaciones: 35x45, 40x50, 50x70, 60x90.",35x45,2500,,
Papel Cortado,"Papel sulfito cortado. | Presentaciones: 35x45, 40x50, 50x70, 60x90.",40x50,2500,,
Papel Cortado,"Papel sulfito cortado. | Presentaciones: 35x45, 40x50, 50x70, 60x90.",50x70,2500,,
Papel Cortado,"Papel sulfito cortado. | Presentaciones: 35x45, 40x50, 50x70, 60x90.",60x90,2500,,
Papel Higiénico Elegante,Papel higiénico Elegante x4 x30m. | Presentaciones: Unidad y Bulto (12 paquetes).,Unidad (x4 x30m),1700,,
Papel Higiénico Elegante,Papel higiénico Elegante x4 x30m. | Presentaciones: Unidad y Bulto (12 paquetes).,Bulto (12 paquetes),16000,,
Rollo de Cocina Elegante,Rollo de cocina 8x3x60 paños. | Presentaciones: Unidad y Bulto (8 paquetes).,Unidad,1800,,
Rollo de Cocina Elegante,Rollo de cocina 8x3x60 paños. | Presentaciones: Unidad y Bulto (8 paquetes).,Bulto (8 paquetes),13900,,
Cajas de Empanada,"Cajas de cartón reforzado ideales para delivery o take away de empanadas. | Diseño resistente, apilable y con buena ventilación. | Disponibles para media docena, una docena y docena y media.",Media Docena,,12500,21700
Cajas de Empanada,"Cajas de cartón reforzado ideales para delivery o take away de empanadas. | Diseño resistente, apilable y con buena ventilación. | Disponibles para media docena, una docena y docena y media.",1 Docena,,13000,23100
Cajas de Empanada,"Cajas de cartón reforzado ideales para delivery o take away de empanadas. | Diseño resistente, apilable y con buena ventilación. | Disponibles para media docena, una docena y docena y media.","1,5 Docena",,14000,27500
Estallidos,"Estallidos para uso escolar o de librería. | Fabricados con materiales de calidad, ideales para actividades educativas y artísticas. | Disponibles en modelos N°2, N°3, N°4, N°5, N°6, N°7 y N°8.",N°2,470,0,0
Estallidos,"Estallidos para uso escolar o de librería. | Fabricados con materiales de calidad, ideales para actividades educativas y artísticas. | Disponibles en modelos N°2, N°3, N°4, N°5, N°6, N°7 y N°8.",N°3,600,0,0
Estallidos,"Estallidos para uso escolar o de librería. | Fabricados con materiales de calidad, ideales para actividades educativas y artísticas. | Disponibles en modelos N°2, N°3, N°4, N°5, N°6, N°7 y N°8.",N°4,650,0,0
Estallidos,"Estallidos para uso escolar o de librería. | Fabricados con materiales de calidad, ideales para actividades educativas y artísticas. | Disponibles en modelos N°2, N°3, N°4, N°5, N°6, N°7 y N°8.",N°5,950,0,0
Estallidos,"Estallidos para uso escolar o de librería. | Fabricados con materiales de calidad, ideales para actividades educativas y artísticas. | Disponibles en modelos N°2, N°3, N°4, N°5, N°6, N°7 y N°8.",N°6,1200,0,0
Estallidos,"Estallidos para uso escolar o de librería. | Fabricados con materiales de calidad, ideales para actividades educativas y artísticas. | Disponibles en modelos N°2, N°3, N°4, N°5, N°6, N°7 y N°8.",N°7,1450,0,0
Estallidos,"Estallidos para uso escolar o de librería. | Fabricados con materiales de calidad, ideales para actividades educativas y artísticas. | Disponibles en modelos N°2, N°3, N°4, N°5, N°6, N°7 y N°8.",N°8,1750,0,0
Fibron Librería,"Fibron permanente ideal para uso escolar, de oficina o artístico. | Disponible en colores: rojo, negro, azul y verde. | Punta resistente, de trazo parejo y tinta duradera.",Rojo,850,0,0
Fibron Librería,"Fibron permanente ideal para uso escolar, de oficina o artístico. | Disponible en colores: rojo, negro, azul y verde. | Punta resistente, de trazo parejo y tinta duradera.",Negro,850,0,0
Fibron Librería,"Fibron permanente ideal para uso escolar, de oficina o artístico. | Disponible en colores: rojo, negro, azul y verde. | Punta resistente, de trazo parejo y tinta duradera.",Azul,850,0,0
Fibron Librería,"Fibron permanente ideal para uso escolar, de oficina o artístico. | Disponible en colores: rojo, negro, azul y verde. | Punta resistente, de trazo parejo y tinta duradera.",Verde,850,0,0
Film,"Film adherente de alta calidad para embalaje y conservación. | Disponible en múltiples medidas y longitudes según tus necesidades. | Ideal para uso doméstico, gastronómico o industrial.",38x700,18500,,
Film,"Film adherente de alta calidad para embalaje y conservación. | Disponible en múltiples medidas y longitudes según tus necesidades. | Ideal para uso doméstico, gastronómico o industrial.",45x700,21500,,
Film,"Film adherente de alta calidad para embalaje y conservación. | Disponible en múltiples medidas y longitudes según tus necesidades. | Ideal para uso doméstico, gastronómico o industrial.",5MTS,1500,,
Film,"Film adherente de alta calidad para embalaje y conservación. | Disponible en múltiples medidas y longitudes según tus necesidades. | Ideal para uso doméstico, gastronómico o industrial.",38x500,10000,,
Film,"Film adherente de alta calidad para embalaje y conservación. | Disponible en múltiples medidas y longitudes según tus necesidades. | Ideal para uso doméstico, gastronómico o industrial.",45x500,11500,,
Film,"Film adherente de alta calidad para embalaje y conservación. | Disponible en múltiples medidas y longitudes según tus necesidades. | Ideal para uso doméstico, gastronómico o industrial.",38x300,4800,,
Fólex,"Papel Fólex resistente a la grasa y al calor. | Ideal para envolver alimentos, hamburguesas, empanadas y panificados. | Disponible en tamaños 20x25 y 13x13 (Hamburguesa).",20x25,4200,,
Fólex,"Papel Fólex resistente a la grasa y al calor. | Ideal para envolver alimentos, hamburguesas, empanadas y panificados. | Disponible en tamaños 20x25 y 13x13 (Hamburguesa).",13x13 (Hamburguesa),7000,,
Fondo de Pizza,Papel fondo para pizza. | Presentaciones: Chico / Chico Bulto / Grande / Grande Bulto. | Bultos: Fondo de Pizza 10 kg.,Chico,2800,,
Fondo de Pizza,Papel fondo para pizza. | Presentaciones: Chico / Chico Bulto / Grande / Grande Bulto. | Bultos: Fondo de Pizza 10 kg.,Grande,2800,,
Caja de Ganchos (Abrochadora),"Ganchos metálicos de alta calidad para abrochadora. | Compatibles con abrochadoras estándar y profesionales. | Resistentes, precisos y duraderos.",10/50 (x5000),5500,,
Caja de Ganchos (Abrochadora),"Ganchos metálicos de alta calidad para abrochadora. | Compatibles con abrochadoras estándar y profesionales. | Resistentes, precisos y duraderos.",21/6 (24/6) x1000,1100,,
Arranque Grueso,Arranque grueso de alta resistencia para uso múltiple. | Ideales para embalaje y protección de productos.,20x25,4700,,
Arranque Grueso,Arranque grueso de alta resistencia para uso múltiple. | Ideales para embalaje y protección de productos.,20x30,4700,,
Arranque Grueso,Arranque grueso de alta resistencia para uso múltiple. | Ideales para embalaje y protección de productos.,25x35,4700,,
Arranque Grueso,Arranque grueso de alta resistencia para uso múltiple. | Ideales para embalaje y protección de productos.,30x40,4700,,
Arranque Grueso,Arranque grueso de alta resistencia para uso múltiple. | Ideales para embalaje y protección de productos.,35x45,4700,,
Arranque Grueso,Arranque grueso de alta resistencia para uso múltiple. | Ideales para embalaje y protección de productos.,40x50,4700,,
Arranque Grueso,Arranque grueso de alta resistencia para uso múltiple. | Ideales para embalaje y protección de productos.,45x60,4700,,
Arranque Grueso,Arranque grueso de alta resistencia para uso múltiple. | Ideales para embalaje y protección de productos.,50x70,4700,,
Arranque Grueso,Arranque grueso de alta resistencia para uso múltiple. | Ideales para embalaje y protección de productos.,60x90,4700,,
Hilo,Disponible en colores blanco y amarillo. | Presentación en chico y grande.,Blanco,1800,0,0
Hilo,Disponible en colores blanco y amarillo. | Presentación en chico y grande.,Amarillo,2500,0,0
Papel Manteca,Papel manteca apto contacto con alimentos. | Opciones: Chico y 1 Kg.,5mts,2300,,
Papel Manteca,Papel manteca apto contacto con alimentos. | Opciones: Chico y 1 Kg.,1Kg,13000,,
Mini Rollos,"Mini rollos ideales para detalles, regalos o uso en regalería.",Por Unidad,350,,
Mini Rollos,"Mini rollos ideales para detalles, regalos o uso en regalería.",10 Unidades,3000,,
Moldes Air Fryer,Moldes de papel para freidora de aire. | Evitan que los alimentos se peguen y facilitan la limpieza. | Disponibles en tamaño chico y grande.,Chico,100,,
Moldes Air Fryer,Moldes de papel para freidora de aire. | Evitan que los alimentos se peguen y facilitan la limpieza. | Disponibles en tamaño chico y grande.,Grande,130,,
Moño Fácil,"Moños listos para usar, ideales para regalos, decoración y eventos. | Disponibles en tres tamaños: Mini, Medio y Largo.",Mini,2200,,
Moño Fácil,"Moños listos para usar, ideales para regalos, decoración y eventos. | Disponibles en tres tamaños: Mini, Medio y Largo.",Medio,2600,,
Moño Fácil,"Moños listos para usar, ideales para regalos, decoración y eventos. | Disponibles en tres tamaños: Mini, Medio y Largo.",Largo,3500,,
Papel Higiénico New Pel,"Papel higiénico New Pel. | Presentaciones: Económico, Premium Doble Hoja y Premium Triple Hoja.",Económico,13500,,
Papel Higiénico New Pel,"Papel higiénico New Pel. | Presentaciones: Económico, Premium Doble Hoja y Premium Triple Hoja.",Premium Doble Hoja,9500,,
Papel Higiénico New Pel,"Papel higiénico New Pel. | Presentaciones: Económico, Premium Doble Hoja y Premium Triple Hoja.",Premium Triple Hoja,12500,,
Rollo de Cocina New Pel,Rollo de cocina New Pel. | Presentaciones: Unidad y Bulto (8 rollos).,Unidad,1760,,
Rollo de Cocina New Pel,Rollo de cocina New Pel. | Presentaciones: Unidad y Bulto (8 rollos).,Bulto (8 rollos),13900,,
Guantes de Nitrilo Negro,"Guantes de nitrilo negro descartables de alta resistencia. | Ideales para uso profesional, gastronómico, industrial y sanitario. | Disponibles en talles S, M y L. | Presentación: por paquete.",Talle S,5500,,
Guantes de Nitrilo Negro,"Guantes de nitrilo negro descartables de alta resistencia. | Ideales para uso profesional, gastronómico, industrial y sanitario. | Disponibles en talles S, M y L. | Presentación: por paquete.",Talle M,5500,,
